core,l1i_size,l1d_size,l2_size,l1d_assoc,l1i_assoc,l2_assoc,sys_clock,latency,area,power
16.0,9.0,2.0,15.0,2.0,1.0,4.0,2.5,0.000592,770.2,61.635
7.0,8.0,9.0,7.0,3.0,3.0,2.0,2.5,0.000269,127.9,15.171
11.0,4.0,4.0,15.0,3.0,2.0,4.0,3.4,0.000413,685.87,48.844
15.0,10.0,10.0,10.0,2.0,3.0,2.0,2.9,0.000586,399.9,43.728
5.0,2.0,7.0,7.0,4.0,4.0,2.0,3.9,0.0,0.0,0.0
15.0,9.0,10.0,13.0,3.0,2.0,1.0,2.2,0.000586,392.19,42.364
4.0,3.0,10.0,12.0,2.0,4.0,4.0,2.5,0.0,0.0,0.0
16.0,9.0,10.0,15.0,1.0,2.0,4.0,3.5,0.000608,916.77,71.748
13.0,6.0,7.0,8.0,3.0,2.0,1.0,3.7,0.000468,176.5,23.129
2.0,3.0,10.0,9.0,4.0,3.0,4.0,3.0,0.000129,51.825,5.526
4.0,8.0,2.0,13.0,3.0,4.0,4.0,3.0,0.0,0.0,0.0
4.0,4.0,8.0,14.0,4.0,4.0,2.0,3.0,0.00019,213.58,15.478
5.0,7.0,4.0,15.0,2.0,2.0,2.0,3.4,0.000195,298.41,22.006
5.0,3.0,3.0,12.0,1.0,4.0,2.0,3.1,0.0,0.0,0.0
11.0,6.0,8.0,6.0,4.0,4.0,4.0,2.9,0.0,0.0,0.0
10.0,8.0,7.0,10.0,2.0,1.0,4.0,2.5,0.00038,137.86,19.193
15.0,4.0,9.0,7.0,1.0,3.0,3.0,3.5,0.000586,243.27,30.238
11.0,7.0,10.0,15.0,4.0,3.0,4.0,3.2,0.000413,796.8,57.181
7.0,4.0,5.0,14.0,2.0,2.0,1.0,3.0,0.000269,203.19,18.518
2.0,7.0,8.0,6.0,3.0,3.0,3.0,3.9,0.000129,34.638,4.147
14.0,5.0,6.0,9.0,3.0,4.0,4.0,2.5,0.000515,249.33,26.617
1.0,8.0,7.0,15.0,2.0,2.0,1.0,3.9,0.000171,248.5,14.698
11.0,8.0,5.0,10.0,1.0,4.0,1.0,3.1,0.000413,187.91,21.604
3.0,8.0,4.0,7.0,2.0,3.0,2.0,3.2,0.000149,43.516,5.698
14.0,7.0,10.0,16.0,3.0,2.0,2.0,2.5,0.000515,713.85,58.606
6.0,10.0,4.0,8.0,1.0,4.0,2.0,3.3,0.000226,120.86,14.175
5.0,7.0,7.0,15.0,2.0,1.0,3.0,2.5,0.000195,313.71,22.357
8.0,5.0,9.0,15.0,4.0,1.0,1.0,2.4,0.000305,378.03,29.234
16.0,4.0,5.0,11.0,2.0,3.0,3.0,2.2,0.000592,216.63,28.231
13.0,9.0,2.0,14.0,4.0,2.0,2.0,2.6,0.0,0.0,0.0
1.0,6.0,2.0,10.0,2.0,1.0,1.0,2.3,0.000169,22.243,2.316
13.0,7.0,3.0,13.0,4.0,3.0,2.0,3.3,0.0,0.0,0.0
12.0,7.0,8.0,12.0,4.0,3.0,2.0,2.6,0.00045,261.75,26.106
3.0,4.0,5.0,9.0,1.0,2.0,4.0,3.4,0.000149,40.15,5.49
15.0,3.0,2.0,8.0,1.0,1.0,4.0,2.8,0.000586,161.2,24.592
14.0,4.0,5.0,16.0,3.0,4.0,3.0,3.8,0.000515,706.73,51.794
2.0,10.0,9.0,8.0,3.0,1.0,3.0,2.3,0.000129,50.168,5.729
8.0,3.0,8.0,8.0,1.0,3.0,2.0,2.4,0.000305,111.04,14.795
10.0,2.0,9.0,16.0,1.0,4.0,1.0,3.8,0.0,0.0,0.0
14.0,3.0,9.0,14.0,1.0,2.0,4.0,3.9,0.000515,334.82,35.203
14.0,5.0,10.0,12.0,4.0,3.0,4.0,2.3,0.000515,341.71,35.8
3.0,5.0,7.0,7.0,1.0,3.0,1.0,2.6,0.000149,41.397,5.527
4.0,3.0,2.0,14.0,4.0,2.0,1.0,2.9,0.0,0.0,0.0
16.0,2.0,8.0,14.0,3.0,4.0,1.0,3.9,0.0,0.0,0.0
